Originator,Text,Age,Person whose age we surmised
MicheBella ," RT @peterme: Four years ago, the New Yorker did a great feature on Tim Howard. http://t.co/RjeArVzavy",,
KishorMalakiya ," RT @DagDom17: Last minute of Portugal/US game, 8 yr old turns to me &amp; says ""This is the part where u start saying the F word, right?"" Right",,
rajpreet_bal ," RT @tehreeemxo: Hayye happy birthday &lt;33 Have a good one, i luv you tons and im gonna miss u during the summer :) @rajpreet_bal",,
Kaetlin_ , @Luke5SOS luke please follow me I'm trying to get your follow before my birthday on the 27th x5,,
55_pesci , RT @Robby__Baker: The last two hours have aged me about 30 years minimum,,
schauberger_j , @G_Eazy Been listening since you put out Old No. 7 with Jez Dior and Got a Thing for Me. Hyped,,
dariasolo ," RT @SameralAtrush: To put things in perspective: a Jazeera producer got 10 years in jail, same sentence for two policemen who beat Khaled S",,
the_Sexycaptain , @torvingen Congratulations on hanging in there 2 years Ma'am!,,
Chris_gotit , RT @YRN_PrettyBoy: Class of 2014  Class of 2015  Class of 2016  Class of 2017  Are The Last Years Of The 90's Babies ,-1,
vhue_ , it's my sisters 6th birthday and her birthday wish was for @camerondallas to call me on #callmecamwednesday so #callmecam  @camerondallas,,
kLEAHpatraa , RT @Emmmerald: Happy birthday to my lifetime lockdown buddy and one of my best friends in the the whole wide world!! http://t.co/vkxpnhN4sS,,
karolinagor ," @5SOS I'd love to get from you follow for my birthday which will be on Friday, it would be the best gift I could get. Love you #210",,
AnAn_chocolate , RT @ArianaGerande: Woohoo ari was 21st today  so happy.. Happy birthday my lovely ,,
kb_beige , RT @BeigeIdentity: Beige 1st Birthday!  28th June!  16 Hour Day/Night Party! Tickets: http://t.co/0wMFW2GXkE Mix CD: http://t.co/LU7,,
casynq , happy birthday to my #1!! @alixtoepell http://t.co/Esndu0EIYL,,
mygejosihuh , RT @asabobby: @LincolnTownley @RealDeniseWelch.....I ain't picked a book up in 4 years....now I can't put 1 down!!....#thehunger #imhooked ,
PromiscuousBoys ," RT @FootbalIGIFS: ON THIS DAY, 28 years ago, Maradona scored this ""Hand of God"" goal against England. http://t.co/jU8Kpuaw8u",
upkarsinghsaluj , RT @twitter: Thanks to all of you who have come along in our first 8 years. Take a look at where weand youstarted. https://t.co/N0KQ85TJD,
FeliciaSalon ," @ohthatmadibaker @Walmart Girl, you have 20$ on the gift card from @emeryelliott Happy 5ThGrade Birthday! ",
httpkevatic ," @ArianaGrande Happy Birthday my love, I love you from the bottom of my heart, thank you for everything #HappyBirthdayArianaFromBrazil 3",
NatashaAnne26 ," @biggestfanCU haha yeah, but technically when it's the 25 in US it also crosses over the 26 in Aus so we share an Aussie birthday with it ;)",
Kacie1959 , RT @asabobby: @LincolnTownley @RealDeniseWelch.....I ain't picked a book up in 4 years....now I can't put 1 down!!....#thehunger #imhooked ,-1
r_afidah ," Happy birthday special for my bias @Khunnie0624 Thx for inspiring me with wise words that always u tweet, :3",
DePena7 , RT @LFC Happy birthday to former #LFC star and Istanbul hero @LuchoGarcia14 who turns 36 today! #HeDrinksSangria http://t.co/MSDvPo52U8,-1
Simonlift , @LeonKnight_5 28 years ago today #Handball end of... http://t.co/arr8xxjYAK,
ZvezdaUchenyy ," RT @RockabillyJay: I have to explain what to do during a school shooting to my 7yr old, but by all means lets freak out about gay marriage.",
louis_beesieqii , RT @OfficialCSA: Happy 29th birthday @VDP_24 ! Have a great day and many more! http://t.co/wop66UNtA0,
MickNeedsToRant ," @psychicpebble They've been making them for over 10 years here. Everytime they crank it up a notch in terms of the ""shock factor""",
BigBenSmallJohn , RT @Things4WhitePpl: Being a huge soccer fan once every 4 years ,
Asvpxrash ," RT @AYOnline_: @Asvpxrash happy birthday bro, hope it was a live one",
celeb_ur_Birth , RT @TheFairyHouses: #handmade #handmadehour #etsy #ooak #art #artist #birthday #gift #summer2014 http://t.co/vZu7quXFNB via @Etsy,
morespamaccount , @Louis_Tomlinson hi louis! can you please follow @halfmoonlouis her birthday is tomorrow and a follow from you is all she wants :)83
CookieGuwap , RT @lashaylove_: Not even excited for my birthday. Seventeen seems like such a boring age.
abdullahinurow , RT @nadimhoury: Another outrageous sentence by #Egypt judiciary. AJE journalists sentenced to 7 years. Other AJE staff in absentia get 10ye
kittenIouis , @Louis_Tomlinson hi louis! can you please follow @halfmoonlouis her birthday is tomorrow and a follow from you is all she wants :)75
HeartOnMahone , RT @jxxnoskians: @luke_brooks if this gets at least 300 retweets by July 19 (my birthday) could you please follow me? I love you so much su
Niall_YouAndI ," Hi @NiallOfficial &amp; @Harry_Styles, Tomorrow it's my Birthday ! Can you please follow me? Love You so much &amp; make me the happiest boy ! x204"
mardar35 ," I think it's pretty silly critics are calling @BatmanvSuperman a failure am i missing something, the movie won't be out for 2 years"
brynnteresting , RT @ZooeyDeschanel: Happy 21st birthday to my sweet friend @mindykaling !!!  You can legally drink now!
thevioletandpll ," @lucyhale Today is my birthday, I'm Brazilian, could give me congratulations? Seriously the best gift, I love you kisses x21"
LaurenASherwood ," Happy 19th Birthday to my beautiful sister, @katsherwood! I love you and I am so proud of you! http://t.co/UKoZgb8yUz"
fakeSuperMario , RT @Ricardozam: New Super Mario Bros. 99 Lives Glitch Discovered After 30 Years http://t.co/ODWyOVNg1T
TeeMoney_Mills , RT @worldsoccershop: Win a limited edition pair of @adidassoccer #F50 #Messi Birthday Boots! Follow &amp; RT to enter! #allin or nothing. http:
iTrickorTweet , RT @EssentialFact: Honey is the only food item which never rots. A jar of honey can remain edible for 3000 years.
smiliedbieber , today is my birthday give a little wishes may I get from you? @justinbieber *6
ipai58 ," RT @acmilan: Happy birthday Captain Paolo #Maldini, unforgettable number 3! Send him your birthday wishes! #weareacmilan http://t.co/FqvZwc"
hesftzjm , @zaynmalik helloo zee:D it's MY birthday so soon  and a follow would be THE BEST present ever  it's ALL i want  i LOVE YOU. xx28
louisaIute , @Louis_Tomlinson hi louis! can you please follow @halfmoonlouis her birthday is tomorrow and a follow from you is all she wants :)74,
trizzle_faithh , @tyleroakley think about that next time before you jump on Taylor. Like seriously he made that vid two years ago.,
RealZachSturgis , RT @dukeblueplanet: Happy birthday to Duke grads with NBA and Final 4 experience @JJRedick and @alaatweets,
_ReyCalavera ," RT @SciencePorn: Two day old zebrafish larvae, as seen through a scanning electron microscope (Via @Microscopepics) http://t.co/mcJtDFeODR",
ane_andriana ," @Harry_Styles Tomorrow is my birthday, can you please follow me and make me the happiest girl on this planet? Love you so much. xxx7.772",
JackOrYack ," RT @aleciniguez04: Happy birthday to one one of my best friends, @JackOrYack I hope you have great day bud!",-1
LiamDoYouHateMe ," @Harry_Styles hey it's my birthday on 10th july please follow me and make my birthday special would you, please? x1610",
cleoooxxx , @ArianaGrande Hey Ariana  Happy Birthday &lt;3 Can you follow please @ilyArixoxo ? x1,
kellyy_annn , RT @Knicoleee13: Kids: enjoy while ur 12-15 yrs old bc after tht no one hangs out,
NewYorkLiterary ," RT @iimaniDavid: Five years later I finally get the question as to why the main characters in ""Anathema Rhodes"", though experiencing true l",
OriDomingues11 , @ArianaGrande My best wishes for you. I hope passes the best birthday of your life. Thanks for everything. ILY #HappyBirthdayAriana 199,
Nabeel__Haider , @HithamNakhleh Happy Birthday G. Hope it's a good one,
JAskU_ ," RT @_TeionaJ: Happy 37th birthday to my mother, Yung Shea. She's the best. ",
Directionolg , @Harry_Styles hi Hazza plz follow me honey plz my birthday is approaching plz follow me  x31,
frickledpickle ," RT @UberFacts: Flavor Flav spent $2,600 on cocaine every day for six years.",
louerriehug , @Louis_Tomlinson hi louis! can you please follow @halfmoonlouis her birthday is tomorrow and a follow from you is all she wants :)72,
ZWordNiall ," TODAY IS MY BIRTHDAY, HOLDS MY DREAM AND GIVE ME THE GREATEST GIFT, PLEASE FOLLOW ME, I LOVE YOU TOO  @NiallOfficial x339",
bashlog , RT @compay: My 5 year old son just asked my wife if 20 + 20 is 2020. I think he's going to be a JavaScript developer when he grows up.,
georgiaweathers ," RT @jennycoliver: 50+yr old man in front of me getting an icee just as i'm getting mine. Let's all say ""hi"" to G's new daddy.",
Sehlin_rumuar , RT @MessiQuote: Happy 27th birthday to Messi  the greatest footballer of all time. Our idol and a legend in every sense of the word! http:,
_amit008 ," RT @FootballFunnys: Happy Birthday to one of the greatest footballers ever, Zinedine Zidane! #FRA http://t.co/Qbg20ce390",
KWynter_LDN , RT @london24: Good news for drivers - CCTV spy cars banned after costing Londoners 285million in 5 years http://t.co/oE2cGe9SGh http://t,
ThatBlackYank , RT @JB17Official: Happy Birthday Bro! @David_AlabaGreetings from Brazil #da27 #jb17,
hurweezy12 ," RT @FOXSoccer: Happy 42nd birthday to a true #WorldCup legend, Zinedine Zidane! http://t.co/P7UVbT7CHT",
ButeraLove__ , I can't believe you are already 21. I just want to say you mean the world to me. I  you so much. Happy birthday. @ArianaGrande x160,
_JanoDirtyPig , @camerondallas #CallMeCam #CallMeCam #CamCallMe its my birthday please call me! 206,
hotasslucas , Michael clifford from 5sos my birthday is TODAY and it would be the best present ever for a follow? I love you @Michael5SOS @5SOS x933,
paleloiter ," @iBieberBomb: Quote this with your birthday, I want to find my twin feb. 20",
2PMiyuki_13 , RT @naverstarcast: surprise birthday party and find out what 2PM members prepared for Nichkhun!! #2PM http://t.co/ppUmTWyIvT http://t.co/Cf,
MoeeDee , Turn tf up @DerekLuh birthday is 3 days before mine !!!! Happy birthday ,-1
Constapale , Happy 42nd birthday to the best dad in West Virginia! @wyotexrc http://t.co/LMRJAdstpq,
celiaspringer1 , @lilgbasedgod happy birthday babe sorry we can't rage tonight I love u 4 ever I'll still bake you a cake when I come home ,
PutUrHeartsUp15 , @ArianaGrande #Happy21stBirthdayAriana I love you so much enjoy your birthday!!!!!
kelly_wooo , 16 unique inspiring holiday gifts for your family and friends http://t.co/ozO0ymBHGe #Birthday #Wedding #Anniversary #Gift @retwitclub 3
hesftzjm , @zaynmalik helloo zee:D it's MY birthday so soon  and a follow would be THE BEST present ever  it's ALL i want  i LOVE YOU. xx70
MatthewPost7 , RT @HarpersMSU: Celebrating @jerrysprague birthday out at the patio bar with live music &amp; 1/2 OFF food/drinks - come join the fun!  http:/
Astrokydd1 ," RT @ESPNFC: On June 24, 1987 the football world was given a gift. Happy 27th Birthday to Lionel Messi http://t.co/KJXv1sYNAX"
kcrazy_4me , RT @indicine: Shahrukh Khan is the most successful actor this century (last 14 years) with 15 of 26 films in Top 5 highest grossers http://
TumblrGurl7 , HEY @NiallOfficial CAN I GET A SHOUTOUT/FOLLOW ON JULY 7. IT WILL BE MY BIRTHDAY AND I JUST LOVE YOU SO MUCH X406
nurbanubiebs ," @ArianaGrande Happy Birthday Ariana&lt;3 i love you so much, pls follow me Ariana &lt;3 19"
ASingerSoul , RT @HelenaaaLoveee: Wishing this little lady aka my beloved child an amazing birthday&amp; on finally being LEGAL! #18  http://t.
MadMike0028 ," RT @brainpicker: For Orwell's 111th birthday today, Steadmans glorious vintage Animal Farm illustrations http://t.co/TzRUtZCxSC http://t.c"
IJustDontLoveU_ ," RT @FOXSoccer: Happy 42nd birthday to a true #WorldCup legend, Zinedine Zidane! http://t.co/P7UVbT7CHT"
justinlovesnyc , RT @SB_Projects: Happy belated birthday @scooterbraun! 33 is the new sexy. http://t.co/vWEKsl34i0
_asspinosa , @ArianaGrande it's my birthday next month and it would mean the world to me if you followed me. Ilysm 16
phoenixpathway ," RT @CBCHamilton: Anya Martinez, 6-yr-old girl from Ancaster, tries to get to U.S. for experimental cancer trial http://t.co/T4LSL25Pim http"
hiimrsrr_ , RT @SMTownEngSub: #HappySoomanDay birthday hashtag is trending #4 Worldwide http://t.co/iqtkZ3sZ8V
__ireallydgaf ," RT @__LoveLisaa: Happy Birthday To My G, My Heart, My A1 , My Lo Baby &amp; Most All My Rider Kayla Baby !!!!! Baby Turn Tf Up ! http://t.c"
El_Chapo_MGT , RT @SexualTruth: U can have sex on the 1st date and end up together for years or u can wait months and get cut off right after. There's no 
blissfullirryy , @Harry_Styles hii harry! my birthday is in 5 days and a follow of you would be the best present I could ever ask for i love youu!!698
JackBoiFetty , RT @JiggaRoZay: FETTY BOI BIRTHDAY BASH THIS FRIDAY @ #CLUBHOUSE 1230 REDBANK RD http://t.co/tlbtfH90V5
amitphalke , Here is wishing the one and only #saietam @SaieTamhankar a very happywala birthday !!
krispykreme , @lyndeezle Surprise! We'd like you to help us celebrate our upcoming 77th birthday on July 11th. DM us your address for a sweet treat!
